"author","coauthors"
"Sebastian Robledo","Germán A Osorio-Zuluaga"
"Sebastian Robledo","Nestor Dario Duque-Mendez"
"Sebastian Robledo","Pedro Duque"
"Sebastian Robledo","Sebastian Buitrago Aristizabal"
"Sebastian Robledo","Martha Zuluaga"
"Germán A Osorio-Zuluaga","Sebastian Robledo"
"Germán A Osorio-Zuluaga","Martha Zuluaga"
"Germán A Osorio-Zuluaga","Gonzalo Taborda-Ocampo"
"Germán A Osorio-Zuluaga","Nestor Dario Duque-Mendez"
"Germán A Osorio-Zuluaga","Luis Gonzalo Sánchez Giraldo"
"Nestor Dario Duque-Mendez","Demetrio Arturo Ovalle Carranza"
"Nestor Dario Duque-Mendez","Valentina Tabares Morales"
"Nestor Dario Duque-Mendez","Paula Andrea Rodríguez Marín"
"Nestor Dario Duque-Mendez","Emilcy Juliana Hernández-Leal"
"Nestor Dario Duque-Mendez","Julian Moreno Cadavid"
"Pedro Duque","Jose David Giraldo Castellanos"
"Pedro Duque","Sebastian Robledo"
"Pedro Duque","Damiand Felipe Trejos Salazar"
"Pedro Duque","L. Salvador Cervantes Cervantes"
"Pedro Duque","Alexandra Montoya (Https://Orcid.org/0..."
"Martha Zuluaga","Gonzalo Taborda-Ocampo"
"Martha Zuluaga","Germán A Osorio-Zuluaga"
"Martha Zuluaga","Sebastian Robledo"
"Martha Zuluaga","Juan Pablo Penagos Gonzalez"
"Martha Zuluaga","Juan Carlos Sepúlveda Arias"
